ocid,compiledRelease/id,compiledRelease/awards/0/id,compiledRelease/awards/0/value/amount,compiledRelease/awards/0/value/currency,compiledRelease/awards/0/value/currencyName,compiledRelease/awards/0/date
ocds-dgv273-seacev3-1234544,ocds-dgv273-seacev3-1234544-2026-09-18T10:23:22.012291-05:00,1234544-20264180971,436373.44,PEN,Soles,2026-08-26T00:00:00-05:00
ocds-dgv273-seacev3-1234544,ocds-dgv273-seacev3-1234544-2026-09-18T10:23:22.012291-05:00,1234544-20602517684,54892.0,PEN,Soles,2026-08-26T00:00:00-05:00
ocds-dgv273-seacev3-1230741,ocds-dgv273-seacev3-1230741-2026-09-18T10:23:21.859812-05:00,1230741-20454571259,148350.0,PEN,Soles,2026-07-14T00:00:00-05:00
ocds-dgv273-seacev3-1230741,ocds-dgv273-seacev3-1230741-2026-09-18T10:23:21.859812-05:00,1230741-20534967684,1277340.0,PEN,Soles,2026-08-27T00:00:00-05:00
ocds-dgv273-seacev3-1234956,ocds-dgv273-seacev3-1234956-2026-09-18T10:23:21.672976-05:00,1234956-20504714382,964753.53,PEN,Soles,2026-09-07T00:00:00-05:00
ocds-dgv273-seacev3-1234942,ocds-dgv273-seacev3-1234942-2026-09-18T10:23:21.657021-05:00,1234942-1824040,1832099.94,PEN,Soles,2026-08-27T00:00:00-05:00
ocds-dgv273-seacev3-1235731,ocds-dgv273-seacev3-1235731-2026-09-18T10:23:21.369578-05:00,1235731-1818442,107200.0,PEN,Soles,2026-08-12T00:00:00-05:00
ocds-dgv273-seacev3-1230725,ocds-dgv273-seacev3-1230725-2026-09-18T10:23:21.272750-05:00,1230725-10474369574,195750.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1236412,ocds-dgv273-seacev3-1236412-2026-09-18T10:23:20.949208-05:00,1236412-20486298147,3405132.6,PEN,Soles,2026-08-13T00:00:00-05:00
ocds-dgv273-seacev3-1232054,ocds-dgv273-seacev3-1232054-2026-09-18T10:23:20.932325-05:00,1232054-1815465,359800.0,PEN,Soles,2026-08-14T00:00:00-05:00
ocds-dgv273-seacev3-1235507,ocds-dgv273-seacev3-1235507-2026-09-18T10:23:20.820550-05:00,1235507-20501887286,496800.0,PEN,Soles,2026-09-01T00:00:00-05:00
ocds-dgv273-seacev3-1232980,ocds-dgv273-seacev3-1232980-2026-09-18T10:23:20.697129-05:00,1232980-1822760,5886273.2,PEN,Soles,2026-09-07T00:00:00-05:00
